lot_id,commodity,temperature,humidity,moisture_content,co2_level,oleoresin_content,colour_score,storage_days,initial_quality_grade,grade_ordinal,risk_score,risk_level
L-0032,chilli,30.127470638126592,50.7492327577967,9.854675394321022,754.0701737121866,3.6966378271476312,50.26809972911253,78.64760773473449,C,2,90.0,critical
L-0033,chilli,28.771534477258687,61.367483890742285,8.493527464385938,618.8319776319045,8.7095681651365,92.38061941736851,5.37198236787136,A,0,3.6,healthy
L-0034,chilli,22.353667640299562,66.78106890243753,9.395335909824402,685.948141768562,7.539804794275298,80.75406105700462,54.95243109529669,A,0,26.0,healthy
L-0035,chilli,27.7632484373603,73.5720641392936,10.663513020289852,908.0190397308315,6.750702865651451,76.58931331901253,40.29936642789741,B,1,96.2,critical
L-0036,chilli,29.6200599074552,71.08980546793715,9.310280110695567,686.906076833949,8.00563664237816,85.3461326300043,14.783387681116688,A,0,54.3,moderate
L-0037,chilli,22.47256744030544,65.47327684914451,9.281327119283139,607.2538207571429,6.673739713059073,86.19113426746378,34.62834081345447,A,0,25.8,healthy
L-0038,chilli,26.707018789521722,57.93704125505938,9.174341112232677,584.8163805753571,8.11962547137254,79.56165349457726,10.24381789304389,B,1,14.6,healthy
L-0039,chilli,29.08510641910476,62.59121651708235,8.96013074314996,625.7274693933033,6.530045980225102,84.51676709715609,24.674839305475047,A,0,20.0,healthy
L-0040,chilli,29.63187538613758,62.12428922660807,9.393944043948787,681.9399180662925,6.543188535979371,70.63587273009044,29.798321776886283,B,1,73.4,high
L-0041,chilli,25.491480296292245,64.33853532729924,9.935460667478665,778.0213656446915,7.281356399141164,78.31805668444242,69.37266760923701,A,0,68.2,high
L-0042,chilli,20.376278312713453,44.171300131289925,10.403419661656335,419.15485899002624,7.239813517759963,84.2673425818162,23.71134608113092,B,1,10.9,healthy
L-0043,chilli,18.06484867484063,55.15654953365201,10.120048052980161,486.69674111327765,6.2923739047710665,85.9221130518076,16.284733980362223,B,1,4.6,healthy
L-0044,chilli,32.396980504025656,53.69466046099481,8.109771112441742,720.9181715489813,8.001865809497462,78.53285481454715,38.083846907828374,A,0,29.9,healthy
L-0045,chilli,21.63743784863214,73.4743779750869,10.044577344668753,729.6518668332963,5.749350372150616,75.10929771458127,44.711537014512665,B,1,92.7,critical
L-0046,chilli,21.171164174245334,73.74036478309891,10.172447139258825,509.0187977684923,6.947021611848801,78.21358382060025,15.761093478912025,B,1,29.2,healthy
L-0047,chilli,35.837665355527015,37.300293410150104,7.743300831467935,647.3308402376496,7.08075780589059,79.95650292449061,11.610584050398913,A,0,4.5,healthy
L-0048,chilli,28.642842919090075,75.13837575625729,8.89410087243737,618.1765678110417,7.711519070805035,82.41840783769331,12.576928295309418,A,0,26.8,healthy
L-0049,chilli,27.525251038711517,66.04871532822999,9.823095144426484,791.049885994217,6.198805102788786,68.56762523636743,69.53896497637608,B,1,90.2,critical
L-0050,chilli,21.223844741612442,69.32264727626892,9.793994819211141,600.426046665188,8.431627647173219,88.17071731120983,43.31126578253654,A,0,16.7,healthy
L-0051,chilli,21.67468143283647,65.91509564960037,9.633206683223946,465.18809098387004,7.556356608816617,86.92767466014635,22.457276888515565,A,0,7.7,healthy
L-0052,chilli,30.589268475776443,72.25878514475329,9.546583845658342,784.9554145540208,7.551258931359416,70.06460807328361,61.731990481026536,A,0,92.6,critical
L-0053,chilli,25.161708218602538,60.377271282530174,9.185015855586425,529.9201974542474,6.743681597280252,74.83176241854898,15.653248385492766,B,1,41.9,moderate
L-0054,chilli,32.30251314198659,49.70373768649725,8.068093318941855,673.3968323369654,5.580274255672016,72.8606491816693,27.68320702450662,B,1,22.2,healthy
L-0055,chilli,28.19779509048118,58.73072574402451,10.387134329828774,639.915986936756,7.763265617737761,83.63886564247419,10.076346419820993,B,1,44.2,moderate
L-0056,chilli,38.10409258803019,65.85147314954925,9.540153491442183,852.8284919896831,4.74691158567768,59.14241914247449,59.88913146098852,B,1,98.6,critical
L-0057,chilli,21.991095007613524,59.578870658021856,9.977013577090961,509.3502011739967,6.816426822723186,81.15190527655669,14.547433364330486,B,1,20.2,healthy
L-0058,chilli,27.02195409396847,66.96213601679077,9.600364840655802,623.7720488813334,7.1641934791135276,79.66517366917704,14.845359228480964,B,1,46.2,moderate
L-0059,chilli,24.010213781536386,61.08228946039923,8.606288135632962,592.4995471655492,7.4812489282259556,82.88746831961022,38.71391860209256,A,0,15.9,healthy
L-0060,chilli,30.05212025185271,52.081398929685896,8.247009333536033,747.5029113367659,7.0800372696965965,87.01731966693711,2.3716628591035667,A,0,10.8,healthy
L-0061,chilli,28.843430626096943,47.48410648115564,8.582399860722413,605.0330999666401,5.8960588611159075,83.28825112883092,7.986916631806706,B,1,4.7,healthy
L-0062,chilli,24.280965477274435,56.34579673737813,9.468922119086956,588.0058328439341,6.2132073741029386,72.7353918239864,49.030158403275244,B,1,48.9,moderate
L-0063,chilli,26.03579070072683,61.7854608865192,8.674356950448665,513.3269617056458,6.2487993731073175,82.55017747258597,12.4010726809402,B,1,9.3,healthy
L-0064,chilli,30.738428876173355,40.798505281537565,8.13000181221318,845.7420256839778,4.2376824616428195,52.110540425898556,120.0,B,1,80.4,critical
L-0065,chilli,31.51080708129161,53.702313192808816,9.473530181410883,663.3630816897227,6.1270299836747935,70.30731314340689,33.2780899181986,B,1,67.9,high
L-0066,chilli,24.752841609863648,44.75442388953254,8.586042334403741,556.5373321373479,6.433546545312457,85.02125866638711,4.933318324936215,B,1,5.1,healthy
L-0067,chilli,22.484286905930762,58.0088619366581,10.551461371978222,719.4724480940293,5.088816941520274,60.83296672073262,81.33074743083785,B,1,88.5,critical
L-0068,chilli,33.455819847376574,75.01261822652647,8.810315263447993,709.1073714682346,8.401400432762735,77.28405877752141,33.25060159567052,A,0,53.6,moderate
L-0069,chilli,28.512882625152066,45.38054757526893,8.910941420102475,706.1847243042895,8.083111654420225,83.24141159519138,25.187037991396323,A,0,11.3,healthy
L-0070,chilli,25.230093806795747,62.839441991626686,9.312392007895403,590.6901031944741,7.743127386616023,87.61780732185885,33.15862482607822,A,0,58.3,moderate
L-0071,chilli,31.445911846079145,84.77048996548595,9.299247538018426,659.917769872372,8.012242287338111,89.09210078378145,4.884967661875983,A,0,51.4,moderate
L-0072,chilli,23.389509894805464,73.32270280433828,9.386422860189844,481.164338600279,7.645727477164083,87.26536799225943,28.400692308346944,A,0,17.6,healthy
L-0073,chilli,20.845789526633812,60.48636641194994,11.36394781399342,488.9729689835567,5.410252599930677,66.48988213412603,13.239876692077697,C,2,46.6,moderate
L-0074,chilli,26.285595780369043,66.0679921116207,9.69828187335278,569.4074607609006,8.458123808281885,79.27710186073634,27.04151446432022,A,0,30.8,moderate
L-0075,chilli,30.159208817751683,46.75960005747676,7.947379254525163,653.0949240135217,7.522024784264512,84.29089256688151,19.759852905859983,A,0,5.4,healthy
L-0076,chilli,29.82851002411826,47.28920958660252,9.502191364324894,623.1206783003687,8.245110271188784,84.56835513000246,31.86871004556857,A,0,14.4,healthy
L-0077,chilli,28.381750197325292,56.26941564133845,8.680929157854793,749.2683471047708,7.552585062707088,83.00888042952113,22.441551287777042,A,0,9.5,healthy
L-0078,chilli,27.831973816804258,70.61756658897701,9.608005103549676,517.0742330940544,5.978795329639457,68.21289333272972,18.701466580494372,B,1,65.6,high
L-0079,chilli,30.135312551279785,69.91261918839605,9.826946834669954,694.7041230885595,5.833677673770946,84.9676618200615,11.912463864934704,B,1,65.0,high
L-0080,chilli,25.120771390089963,58.03368291007434,10.660320295637963,588.1391034798019,5.940092532718849,82.22598395493095,5.1568806838363095,B,1,59.5,moderate
L-0081,chilli,27.703324773290113,60.00054467436129,8.577939306061314,581.4103549097746,6.874933894571279,76.01262588199643,3.9341190679467712,B,1,29.5,healthy
L-0082,chilli,29.03065148004748,63.155052786551074,8.71633088968192,597.3634839499567,8.102910983721861,85.42676380702177,8.280965001971579,A,0,9.1,healthy
L-0083,chilli,30.669566956391463,59.117726268297524,9.682475395722703,859.5550567162352,6.354638300325779,69.41677815328455,46.355157307873505,B,1,91.2,critical
L-0084,chilli,25.44466286760939,61.918151296458866,9.874848684767521,707.2405411638028,7.810801082287256,87.72486644852616,11.27513620437122,A,0,19.1,healthy
L-0085,chilli,25.257368663742668,51.7117187227727,8.668145215423822,550.8766392840059,9.213404970648067,91.68433822063281,16.128549128767443,A,0,0.9,healthy
L-0086,chilli,31.489335899733046,67.1720573767337,8.592935560278347,659.7983562204689,8.353721417582566,82.49339969946328,16.263906746994273,A,0,9.3,healthy
L-0087,chilli,32.957542612153006,57.27928227929457,9.182450442171016,654.1719137860798,7.480782113550981,74.10148022672233,20.02776435014154,B,1,39.7,moderate
L-0088,chilli,24.809657625946528,58.88801559698975,9.871896845094566,581.1649866827144,6.459063170211434,75.0086074212407,40.74188741493483,B,1,63.3,high
L-0089,chilli,21.77067734407977,66.34812766081126,9.237220366298699,565.9962401866649,8.85601203235188,87.21693664303847,22.259913242369194,A,0,9.9,healthy
L-0090,chilli,29.100060640858953,66.19550420077182,9.880270764982619,767.6631389733728,5.3138268110745575,70.7068554188644,52.69703824590192,B,1,92.2,critical
L-0091,chilli,21.045684513626092,71.95258427392048,10.413310567816161,400.0,8.449168609643753,90.18229216360544,8.382854313920502,A,0,11.5,healthy
L-0092,chilli,20.24913882896746,56.16410329915622,9.402986872842805,631.1873579576974,6.161254515981759,64.92879410294896,48.8332393445503,B,1,37.1,moderate
L-0093,chilli,25.284491232148252,54.675199667287565,8.598964370508714,744.5825326497238,6.015859084320898,77.69931134352555,74.87501271498297,A,0,28.5,healthy
L-0094,chilli,26.752333280774188,52.3274690962664,8.581009159217686,580.9123266450514,7.601881027381109,85.39922457626336,28.114751195895035,A,0,2.4,healthy
L-0095,chilli,23.069251039896898,62.98598038089071,8.529495168080073,475.9785210105882,8.527004669807559,95.22191039218845,10.489335906167689,A,0,1.4,healthy
L-0096,chilli,27.181128020524834,53.15728415177422,10.219091637063652,719.1575335612473,5.750650164051615,71.46987924753802,41.33344269057426,B,1,71.4,high
L-0097,chilli,26.67686815536063,76.04105886102836,9.84170419265263,731.530207882756,8.259512133237676,80.74931348316223,28.507854666267917,A,0,74.7,high
L-0098,chilli,23.116569664744873,70.97288134372242,9.245360731125077,624.3988913883977,7.240760644377181,84.98523838430052,36.143045425756696,A,0,41.5,moderate
L-0099,chilli,32.197947473773446,71.17246581703304,9.018296211412098,823.4541650831227,6.199912279127831,74.45310816204712,53.78726459765009,A,0,84.9,critical
L-0100,chilli,28.77655397271371,76.29680964899437,11.321749272834866,603.7198478825675,6.435467338298339,60.18381339689104,20.856162097131957,C,2,95.7,critical
L-0101,chilli,29.314332270231166,60.375142163959744,10.692799889935662,619.4283232535174,5.5753111460663325,60.85413673008448,18.16868132402081,C,2,93.8,critical
L-0102,chilli,18.88419035100118,55.1152688227194,9.674982317496708,865.358610336982,5.205906591155031,60.61606596064067,120.0,B,1,94.7,critical
L-0103,chilli,22.612415678691438,74.01847167381632,9.251529613429518,529.499432100798,7.4975701869114255,75.71910052723928,41.72620582261352,A,0,34.0,moderate
L-0104,chilli,26.196651398925017,62.24394765736909,10.413519694546508,767.4285740566286,4.903460129505993,55.606889017942876,60.49578656637937,C,2,89.9,critical
L-0105,chilli,32.54487256868149,45.42991153816068,8.833532509691786,799.7328183041045,5.504518093699852,58.85290309205469,51.59797090379734,B,1,41.6,moderate
L-0106,chilli,23.20196940141084,67.837985764617,10.227474299944758,707.0290097249616,5.399070464625398,69.45932151939462,61.02089746748456,B,1,91.6,critical
L-0107,chilli,26.506645826061153,60.57526534000894,9.180713348703813,668.8186275991955,8.09502278482649,79.57608741082073,37.071210918418934,A,0,24.6,healthy
L-0108,chilli,17.959956299995586,74.6204572956393,10.480117389655428,628.1991864493244,7.303681727661784,72.95031583261667,55.959177237457986,A,0,52.2,moderate
L-0109,chilli,24.070552897658807,61.60635201294289,9.279533170194902,514.5781558083393,7.639446477622253,89.45231281144281,16.21780155457172,A,0,11.7,healthy
L-0110,chilli,28.66558449101685,55.86907392443917,10.757667401515537,514.0325359792197,5.889286607090455,66.41328356095029,5.001699112783592,C,2,58.7,moderate
L-0111,chilli,25.455659095230118,77.2213264929445,9.932829760777844,559.0742773341826,7.379908593654349,70.10384271636711,12.726073618137182,B,1,69.5,high
L-0112,chilli,18.244675365912933,44.94060694831177,8.933720340048929,572.792235996096,7.343123076829815,85.45241362303157,25.31174924535776,A,0,1.3,healthy
L-0113,chilli,24.543154567353003,60.791545064971416,8.355534526048537,629.8572708824623,8.001929721115454,91.22219202551051,22.701847140828928,A,0,7.8,healthy
L-0114,chilli,17.4101943239737,52.92570327508265,9.7989350491038,484.3685828223108,7.207236969259036,76.70801630377036,28.635602285883564,B,1,9.7,healthy
L-0115,chilli,26.050414121784247,44.04590444604692,8.616875117399479,549.9357260953581,8.171751822225929,89.32357143137017,15.380863489162259,A,0,1.8,healthy
L-0116,chilli,29.26434997931492,69.7511723946918,9.781296228098304,557.0040451577863,5.782518482968633,64.60633732228207,2.8566481946217808,C,2,63.4,high
L-0117,chilli,28.753199204254326,58.928403088523424,9.358911310390926,604.9343876503584,6.400210435703683,78.90370529932726,20.369722985856527,B,1,62.0,high
L-0118,chilli,22.938387365331366,69.85932936361246,9.801044976783258,527.249215755911,7.1625925961798105,85.93154274726463,7.3067675158627,B,1,24.8,healthy
L-0119,chilli,28.666720153714973,64.20728492308686,9.179618768853336,714.3202786612429,7.148756104342724,83.1223566847554,27.683685996416585,A,0,50.2,moderate
L-0120,chilli,30.47001042863273,68.74398447521871,9.942325144265306,859.6423530850473,5.698387125419847,67.88988519735472,38.400291031134316,B,1,93.7,critical
L-0121,chilli,25.966541647985032,63.35932101621033,9.315585047156885,541.0167239516381,5.695658387054866,79.33731652670355,20.03804608394691,B,1,23.0,healthy
L-0122,chilli,23.1023738841558,52.31237588831994,10.012382339623121,561.0526964148028,7.493530748949636,83.66283477069092,9.853610242145454,B,1,3.8,healthy
L-0123,chilli,25.5765457833418,63.19262884015252,9.9703354444312,658.4298278610014,7.394997101801152,77.32349973410443,29.788558539688744,A,0,40.1,moderate
L-0124,chilli,27.001493908201297,68.25677888224307,9.966453369025993,940.223331687755,6.918373999388884,62.78715330932248,120.0,A,0,91.9,critical
L-0125,chilli,33.33287737954495,61.06473901212542,7.541360114388792,663.8150459499918,7.755856182443162,82.97646805085874,41.71231313695613,A,0,34.5,moderate
L-0126,chilli,30.841321089841536,53.809048769038974,9.46133807416279,754.4851022477316,6.833342471328311,72.3321292301857,44.01076667008866,B,1,62.3,high
L-0127,chilli,28.69069763660676,42.73560852028356,7.368648325609149,732.849223903685,9.05140671075805,90.25387523129365,18.306197614618483,A,0,3.3,healthy
L-0128,chilli,27.42021970852192,61.236906984699914,9.292500373120086,606.9224169320228,7.83887070509382,88.95644403822936,13.63417153691107,A,0,9.6,healthy
L-0129,chilli,22.169134688655678,58.01205740406876,9.598055069982363,628.7644208341734,7.9922621264211635,80.39529109728137,61.118141476978025,A,0,24.2,healthy
L-0130,chilli,29.63498108685789,57.05871484368663,10.257171565791891,575.277723787391,6.726334968011297,80.86050715787454,1.6050239511556879,B,1,39.0,moderate
L-0131,chilli,22.63631157196117,60.61383028897669,8.409819425740066,452.9489035202288,8.235666302022807,85.22033382406357,14.954651886091927,A,0,5.1,healthy
L-0132,chilli,29.619851027717296,56.55094872101013,10.914305522943504,922.3523103632388,3.4706110869191256,47.378116866567304,86.5682472905579,C,2,99.0,critical
L-0133,chilli,31.970633067678897,62.06976045427298,10.506704220625556,751.5400505425282,6.6825640006366385,74.53576233286228,26.36222316130398,B,1,89.4,critical
L-0134,chilli,23.895781603116532,67.70798291314706,7.869363576368837,471.08087390762336,8.058678754740482,98.01055098807063,5.789642247064683,A,0,2.6,healthy
L-0135,chilli,36.07532287933343,79.73060513254984,11.262365062458498,635.8477650009055,5.329588533854413,57.987545793504,39.245384472936614,B,1,99.5,critical
L-0136,chilli,27.508401387008217,68.0833506457547,9.48266840508081,631.0388809760734,7.864756369747636,89.64323547550225,20.148615696905996,A,0,13.1,healthy
L-0137,chilli,22.060919860820505,77.39084157360851,11.692856201437314,461.69646114259996,6.234327169886101,67.17057315376346,4.356850330863745,C,2,66.2,high
L-0138,chilli,24.575087674248998,53.24189161615011,8.357735468463208,553.8493403391342,6.059811072576064,75.18202829600233,33.909215384525794,B,1,28.1,healthy
L-0139,chilli,33.52067739181146,40.65749896448971,9.619122109368389,687.594569592727,6.615541922812171,69.92080539387098,30.174147163082022,B,1,30.9,moderate
L-0140,chilli,28.025871996568824,58.73576507912162,8.74384412268495,663.1939936936686,8.686394617626823,89.28225508290087,28.836670505320672,A,0,4.3,healthy
L-0141,chilli,23.96271954384803,62.309037929002294,9.586017805390277,610.9323566445548,6.049007330451447,74.57267295119355,41.27794421054234,B,1,38.6,moderate
L-0142,chilli,26.038434173130533,68.28254994206077,9.297750289072502,613.376725457976,7.0485675040071625,85.23436558852998,9.21341995387272,B,1,46.7,moderate
L-0143,chilli,29.654156420337166,73.59103366881807,11.7031139071521,795.2830832960569,4.157623006036803,60.23728737209615,36.533543069961084,C,2,97.9,critical
L-0144,chilli,26.26213341957444,39.99619849553227,9.54141208350921,619.7083120844507,7.406892735542434,73.99651412591399,31.881912703756075,B,1,31.6,moderate
L-0145,chilli,28.472742551531834,72.74407615164729,10.909480719921316,769.5475927303625,6.211021467999409,62.76841988958021,60.22674912389758,B,1,98.2,critical
L-0146,chilli,32.42494339604934,65.92293902603465,10.06183351876231,677.7784739626285,7.847638605912504,91.59021430658287,14.774280916462919,A,0,34.7,moderate
L-0147,chilli,21.2930903831409,41.3740698790725,7.614207246543455,609.5710417090924,6.686415296807464,78.34076372145869,67.70019589833372,A,0,8.4,healthy
L-0148,chilli,28.043869842333777,66.18905885517638,9.50913404843001,617.3265289693313,6.5173149311925025,71.14380560882947,50.96320691045593,B,1,30.8,moderate
L-0149,chilli,25.319544811478323,57.28059522507202,8.309886742005531,701.1247885537086,7.931731938431374,82.25856481659342,25.53912705258838,A,0,14.1,healthy
L-0150,chilli,25.1055844866738,62.356074848784786,9.360827623256492,650.0066198781177,7.837627226189698,83.10391685435486,28.82275629821826,A,0,14.8,healthy
L-0151,chilli,29.912587650668574,73.84073756063653,9.900025766603715,561.2957024746984,7.207425318815954,79.9605602429863,1.8343635432910936,B,1,56.2,moderate
L-0152,chilli,19.693613404760512,67.15218986294052,9.680687034984109,418.8929802705425,6.126051071140065,66.74104414843484,28.190329773912865,C,2,43.0,moderate
L-0153,chilli,17.384539850311263,48.731430333196094,8.666005687110342,533.8864169985392,7.44080888551321,76.28602372230705,48.47463218426451,A,0,3.0,healthy
L-0154,chilli,24.496990503053397,58.16790288615189,9.211767866979068,541.3897128879685,6.396637654921711,78.21280679478046,22.44464266538802,B,1,8.5,healthy
L-0155,chilli,25.239466127469235,42.46040910900523,7.613544926162174,652.4057943453413,6.648397126809949,76.20389684389407,60.12195089243525,A,0,5.7,healthy
L-0156,chilli,21.26699342517652,66.40263997638333,9.69477204697753,464.9539390793735,6.6575960706362345,74.61127452871557,39.74691274029266,B,1,27.1,healthy
L-0157,chilli,22.72573856393129,75.91375966972328,12.325605991968981,941.4321510562345,7.0107175029694355,65.06288928015276,104.57371029707589,A,0,99.5,critical
L-0158,chilli,34.779894913107526,50.05654680480677,9.828673317415676,679.9655811846154,6.478888937482118,74.84947172518174,15.73552110350567,B,1,56.0,moderate
L-0159,chilli,26.069440071389305,49.199753787654615,8.79099385956887,648.2947538322779,5.805532437433463,74.96203449699803,45.194007302021205,B,1,15.8,healthy
L-0160,chilli,26.3714141597489,52.37250880124799,9.84789850616659,544.840390469736,6.806651984503007,78.36772946071123,7.538970700133518,B,1,32.5,moderate
L-0161,chilli,34.012322652541165,50.17486797635593,8.979464367701523,715.5770854497348,7.982131609905614,79.69107361312314,24.172572624452137,A,0,66.6,high
L-0162,chilli,29.231562696582298,66.12435992310783,11.289488132990053,836.4383043884005,4.714881500009708,59.971727808275155,41.48043429684978,C,2,97.7,critical
L-0163,chilli,31.942435909568896,53.93335465688943,9.349323474852781,730.2636979174715,7.08789736036704,79.93634615111854,47.23981917516217,A,0,40.7,moderate
L-0164,chilli,21.339236636653883,62.20340735473242,8.981031815287887,470.9499488068338,8.76756719397258,83.86114265902958,21.023166298789825,A,0,16.4,healthy
L-0165,chilli,24.548188664888563,72.04220991888039,10.386182720903411,642.9893720423862,5.924338269760477,63.372874980280564,64.70312772986446,B,1,58.8,moderate
L-0166,chilli,27.53548694275514,71.59396686351546,10.259843626647648,789.3655229044857,7.087991820965463,76.29392116909112,74.52925684044233,A,0,92.7,critical
L-0167,chilli,27.96215297873416,50.633567028915806,10.428273771894052,530.44905397257,6.570891321488787,70.23009819001317,15.899782243272222,B,1,34.2,moderate
L-0168,chilli,26.58027192421581,79.04848434170765,9.49840950063853,674.2887793021837,7.018026830260903,77.4025449092404,24.79351129803278,B,1,40.8,moderate
L-0169,chilli,21.527591511505477,75.09965007265401,8.84613041863703,526.0737966813294,8.704500148389464,78.39868465182981,22.734308200340365,A,0,6.5,healthy
L-0170,chilli,30.23897316677941,72.03924859135242,10.17771322867717,709.366609472062,5.720260831027699,60.98207902777905,18.2935940584683,C,2,97.0,critical
L-0171,chilli,27.884395173320097,60.13727822499556,9.796757550463695,884.8571388320731,7.523778781080429,75.63782667525129,71.36749581483589,A,0,72.6,high
L-0172,chilli,28.508772108707223,52.37518571001817,9.115098160691161,727.7121996830093,5.345916903222912,71.24321301485861,70.8060137419245,B,1,86.4,critical
L-0173,chilli,25.253824945963242,54.942105742370245,8.03540419429137,555.55720620385,7.521039034970574,83.0188110042988,23.372599417495014,A,0,5.6,healthy
L-0174,chilli,27.84434414220494,50.92691264131791,11.26505952852704,819.8284621354592,5.549377596249588,67.47099674349444,45.0345059004139,C,2,81.3,critical
L-0175,chilli,23.9847545639001,61.24498352038516,9.450419540144981,703.4794790045609,7.39755385558102,75.10828964276915,59.6363877264983,A,0,64.4,high
L-0176,chilli,24.543827116672887,63.30356147782794,9.100822778564558,643.4063164391252,7.447493211540665,78.76604204482196,34.25837608428917,A,0,30.0,moderate
L-0177,chilli,25.144620893034517,71.94308082739497,9.663616304134395,651.0792349070449,7.724518862156439,93.75530972692503,21.932801884477364,A,0,33.0,moderate
L-0178,chilli,22.340059749105855,55.46118838994306,11.033155101838643,590.3735353649047,4.902525402101923,66.02103879178642,14.893729524502398,C,2,41.1,moderate
L-0179,chilli,29.193993920245404,56.57916523064574,9.956589372015047,764.8847511758225,5.173319478431588,56.140590585502956,48.16936982623508,C,2,87.1,critical
L-0180,chilli,26.144607259291153,58.39780756022045,9.491393641403327,640.5306486829413,7.964299564329477,83.79588538803527,8.23381215760264,B,1,6.4,healthy
L-0181,chilli,24.59240288038174,55.58973508196598,10.35250842254591,586.6521832036542,5.512213214512983,72.5345285596792,22.42875401291849,C,2,82.6,critical
