lot_id,commodity,temperature,humidity,moisture_content,co2_level,oleoresin_content,colour_score,storage_days,initial_quality_grade,risk_score,risk_level,emoji,recommendation,top_factor_1,top_factor_2,top_factor_3,explanation
L-0019,chilli,21.7,60.7,9.8,589.2,6.5,74.7,52.1,B,31.0,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,High storage duration (52 days),High moisture content (9.8%),Low oleoresin content (6.5%),"Lot L-0019 has a risk score of 31/100 (Moderate). The main drivers are storage duration is 52 days, above the safe limit of 45 days; moisture content is 9.8%, higher than a typical lot; oleoresin content is 6.5%, lower than a typical lot."
L-0004,chilli,32.2,58.4,8.7,716.4,8.1,79.2,17.6,A,26.2,Healthy,🟢,Routine monitoring. No action needed.,High temperature (32.2°C),High co2 level (716 ppm),,"Lot L-0004 has a risk score of 26/100 (Healthy). The main drivers are temperature is 32.2°C, above the safe limit of 28.0°C; co2 level is 716 ppm, higher than a typical lot."
L-0016,chilli,22.6,51.5,9.8,537.9,7.2,74.5,18.7,B,26.2,Healthy,🟢,Routine monitoring. No action needed.,High moisture content (9.8%),,,"Lot L-0016 has a risk score of 26/100 (Healthy). The main drivers are moisture content is 9.8%, higher than a typical lot."
L-0035,chilli,23.1,72.5,10.1,503.2,6.9,77.4,17.2,B,25.9,Healthy,🟢,Routine monitoring. No action needed.,High moisture content (10.1%),High humidity (72.5%),,"Lot L-0035 has a risk score of 26/100 (Healthy). The main drivers are moisture content is 10.1%, higher than a typical lot; humidity is 72.5%, above the safe limit of 65.0%."
L-0010,chilli,28.9,52.1,9.0,582.5,7.4,76.1,19.7,B,19.7,Healthy,🟢,Routine monitoring. No action needed.,High temperature (28.9°C),,,"Lot L-0010 has a risk score of 20/100 (Healthy). The main drivers are temperature is 28.9°C, above the safe limit of 28.0°C."
L-0005,chilli,25.0,60.2,8.8,630.4,7.8,81.0,50.5,A,18.4,Healthy,🟢,Routine monitoring. No action needed.,High storage duration (51 days),Low colour score (81.0/100),,"Lot L-0005 has a risk score of 18/100 (Healthy). The main drivers are storage duration is 51 days, above the safe limit of 45 days; colour score is 81.0/100, lower than a typical lot."
L-0001,chilli,29.0,46.8,9.0,620.5,7.5,76.2,16.9,B,16.3,Healthy,🟢,Routine monitoring. No action needed.,High temperature (29.0°C),,,"Lot L-0001 has a risk score of 16/100 (Healthy). The main drivers are temperature is 29.0°C, above the safe limit of 28.0°C."
L-0008,chilli,23.1,59.8,8.5,584.0,6.6,81.8,26.8,B,14.7,Healthy,🟢,Routine monitoring. No action needed.,Low oleoresin content (6.6%),,,"Lot L-0008 has a risk score of 15/100 (Healthy). The main drivers are oleoresin content is 6.6%, lower than a typical lot."
L-0013,chilli,22.7,59.9,9.6,596.3,8.6,85.2,23.5,A,13.7,Healthy,🟢,Routine monitoring. No action needed.,High storage duration (24 days),,,"Lot L-0013 has a risk score of 14/100 (Healthy). The main drivers are storage duration is 24 days, higher than a typical lot."
L-0038,chilli,25.3,58.6,8.4,549.9,7.8,78.8,38.6,A,12.2,Healthy,🟢,Routine monitoring. No action needed.,High storage duration (39 days),,,"Lot L-0038 has a risk score of 12/100 (Healthy). The main drivers are storage duration is 39 days, higher than a typical lot."
L-0026,chilli,25.6,48.7,8.5,622.0,6.7,76.0,12.1,B,11.8,Healthy,🟢,Routine monitoring. No action needed.,,,,Lot L-0026 has a risk score of 12/100 (Healthy). No individual factor stands out as elevating risk; the lot looks stable.
L-0031,chilli,22.5,55.4,9.4,523.5,7.3,78.2,6.8,B,11.1,Healthy,🟢,Routine monitoring. No action needed.,,,,Lot L-0031 has a risk score of 11/100 (Healthy). No individual factor stands out as elevating risk; the lot looks stable.
L-0011,chilli,34.1,41.1,7.5,742.3,8.1,83.6,29.2,A,10.9,Healthy,🟢,Routine monitoring. No action needed.,High temperature (34.1°C),High co2 level (742 ppm),,"Lot L-0011 has a risk score of 11/100 (Healthy). The main drivers are temperature is 34.1°C, above the safe limit of 28.0°C; co2 level is 742 ppm, higher than a typical lot."
L-0037,chilli,26.8,67.3,8.5,521.9,8.2,87.2,15.2,A,10.7,Healthy,🟢,Routine monitoring. No action needed.,High humidity (67.3%),High temperature (26.8°C),,"Lot L-0037 has a risk score of 11/100 (Healthy). The main drivers are humidity is 67.3%, above the safe limit of 65.0%; temperature is 26.8°C, higher than a typical lot."
L-0039,chilli,27.4,35.8,9.2,461.5,6.5,78.3,7.9,B,9.9,Healthy,🟢,Routine monitoring. No action needed.,Low oleoresin content (6.5%),High temperature (27.4°C),,"Lot L-0039 has a risk score of 10/100 (Healthy). The main drivers are oleoresin content is 6.5%, lower than a typical lot; temperature is 27.4°C, higher than a typical lot."
L-0033,chilli,23.7,50.7,8.1,564.4,7.9,76.7,43.4,A,9.4,Healthy,🟢,Routine monitoring. No action needed.,High storage duration (43 days),Low colour score (76.7/100),,"Lot L-0033 has a risk score of 9/100 (Healthy). The main drivers are storage duration is 43 days, higher than a typical lot; colour score is 76.7/100, lower than a typical lot."
L-0040,chilli,24.1,59.7,8.9,696.2,8.4,86.6,28.0,A,8.8,Healthy,🟢,Routine monitoring. No action needed.,High co2 level (696 ppm),,,"Lot L-0040 has a risk score of 9/100 (Healthy). The main drivers are co2 level is 696 ppm, higher than a typical lot."
L-0009,chilli,20.4,44.8,10.1,470.3,6.8,82.3,9.7,B,7.0,Healthy,🟢,Routine monitoring. No action needed.,High moisture content (10.1%),,,"Lot L-0009 has a risk score of 7/100 (Healthy). The main drivers are moisture content is 10.1%, higher than a typical lot."
L-0036,chilli,27.9,55.2,8.1,616.5,8.1,91.3,13.8,A,6.6,Healthy,🟢,Routine monitoring. No action needed.,High temperature (27.9°C),,,"Lot L-0036 has a risk score of 7/100 (Healthy). The main drivers are temperature is 27.9°C, higher than a typical lot."
L-0032,chilli,22.4,59.7,8.6,465.1,8.6,91.3,12.6,A,0.6,Healthy,🟢,Routine monitoring. No action needed.,,,,Lot L-0032 has a risk score of 1/100 (Healthy). No individual factor stands out as elevating risk; the lot looks stable.
L-0012,chilli,24.9,30.0,8.1,553.4,8.3,88.3,19.7,A,0.2,Healthy,🟢,Routine monitoring. No action needed.,,,,Lot L-0012 has a risk score of 0/100 (Healthy). No individual factor stands out as elevating risk; the lot looks stable.
L-0025,chilli,23.6,60.2,9.1,507.0,9.7,84.5,5.4,A,0.0,Healthy,🟢,Routine monitoring. No action needed.,,,,Lot L-0025 has a risk score of 0/100 (Healthy). No individual factor stands out as elevating risk; the lot looks stable.
